uri,name,activity_code_1,activity_code_2,introduction,entityType,graphdbName,dataSpace,abstractField,creationDate,sameAs,industry,outputOf,inputOf,productionVolume,productionVolumeUnit,pedigreeMatrix,imageUrl
rdf.bonsai.uno/exiobase3_3_17/activities/A_FINT,Financial intermediation except insurance and pension funding (65),i65,A_FINT,This dataset is about Financial intermediation except insurance and pension funding (65). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,4/30/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2847578,cubic meter,1;3;1;5;39,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FISH,Fishing operating of fish hatcheries and fish farms; service activities incidental to fishing (05),i05,A_FISH,This dataset is about Fishing operating of fish hatcheries and fish farms; service activities incidental to fishing (05). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/1/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3787945,tons,1;3;1;5;40,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FORE,Forestry logging and related service activities (02),i02,A_FORE,This dataset is about Forestry logging and related service activities (02). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/2/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3099772,unit,1;3;1;5;41,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FSHP,Manufacture of fish products,i15.k,A_FSHP,This dataset is about Manufacture of fish products. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/3/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4619120,cubic meter,1;3;1;5;42,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FURN,Manufacture of furniture; manufacturing n.e.c. (36),i36,A_FURN,This dataset is about Manufacture of furniture; manufacturing n.e.c. (36). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/4/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6725618,tons,1;3;1;5;43,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_FVEG,Cultivation of vegetables fruit nuts,i01.d,A_FVEG,This dataset is about Cultivation of vegetables fruit nuts. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/5/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,5869075,unit,1;3;1;5;44,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),i18,A_GARM,This dataset is about Manufacture of wearing apparel; dressing and dyeing of fur (18). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/6/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6427417,cubic meter,1;3;1;5;45,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_GASD,Distribution of gaseous fuels through mains,i40.2.b,A_GASD,This dataset is about Distribution of gaseous fuels through mains. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/7/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7243593,tons,1;3;1;5;46,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_GASE,Extraction of natural gas and services related to natural gas extraction excluding surveying,i11.b,A_GASE,This dataset is about Extraction of natural gas and services related to natural gas extraction excluding surveying. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/8/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6876639,tons,1;3;1;5;47,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_GLAS,Manufacture of glass and glass products,i26.a,A_GLAS,This dataset is about Manufacture of glass and glass products. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/9/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2208492,unit,1;3;1;5;48,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_GLAW,Re-processing of secondary glass into new glass,i26.a.w,A_GLAW,This dataset is about Re-processing of secondary glass into new glass. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/10/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,5829033,cubic meter,1;3;1;5;49,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_HEAL,Health and social work (85),i85,A_HEAL,This dataset is about Health and social work (85). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/11/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6567443,tons,1;3;1;5;50,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_HORE,Hotels and restaurants (55),i55,A_HORE,This dataset is about Hotels and restaurants (55). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/12/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4392341,unit,1;3;1;5;51,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_HWAT,Steam and hot water supply,i40.3,A_HWAT,This dataset is about Steam and hot water supply. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/13/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2216891,cubic meter,1;3;1;5;52,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCF,Incineration of waste: Food,i90.1.a,A_INCF,This dataset is about Incineration of waste: Food. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/14/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,5616235,tons,1;3;1;5;53,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCL,Incineration of waste: Plastic,i90.1.c,A_INCL,This dataset is about Incineration of waste: Plastic. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/15/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,5613976,unit,1;3;1;5;54,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCM,Incineration of waste: Metals and Inert materials,i90.1.d,A_INCM,This dataset is about Incineration of waste: Metals and Inert materials. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/16/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4703242,cubic meter,1;3;1;5;55,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCO,Incineration of waste: Oil/Hazardous waste,i90.1.g,A_INCO,This dataset is about Incineration of waste: Oil/Hazardous waste. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/17/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3051380,tons,1;3;1;5;56,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCP,Incineration of waste: Paper,i90.1.b,A_INCP,This dataset is about Incineration of waste: Paper. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/18/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7565607,unit,1;3;1;5;57,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCT,Incineration of waste: Textiles,i90.1.e,A_INCT,This dataset is about Incineration of waste: Textiles. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/19/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6757776,cubic meter,1;3;1;5;58,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_INCW,Incineration of waste: Wood,i90.1.f,A_INCW,This dataset is about Incineration of waste: Wood. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/20/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2048525,tons,1;3;1;5;59,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_IRON,Mining of iron ores,i13.1,A_IRON,This dataset is about Mining of iron ores. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/21/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2631999,unit,1;3;1;5;60,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LANF,Landfill of waste: Food,i90.5.a,A_LANF,This dataset is about Landfill of waste: Food. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/22/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7133902,cubic meter,1;3;1;5;61,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LANI,Landfill of waste: Inert/metal/hazardous,i90.5.d,A_LANI,This dataset is about Landfill of waste: Inert/metal/hazardous. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/23/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6682450,tons,1;3;1;5;62,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LANL,Landfill of waste: Plastic,i90.5.c,A_LANL,This dataset is about Landfill of waste: Plastic. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/24/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,5275594,unit,1;3;1;5;63,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LANP,Landfill of waste: Paper,i90.5.b,A_LANP,This dataset is about Landfill of waste: Paper. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/25/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,2347676,cubic meter,1;3;1;5;64,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LANT,Landfill of waste: Textiles,i90.5.e,A_LANT,This dataset is about Landfill of waste: Textiles. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/26/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7982177,tons,1;3;1;5;65,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LANW,Landfill of waste: Wood,i90.5.f,A_LANW,This dataset is about Landfill of waste: Wood. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/27/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6633407,tons,1;3;1;5;66,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LETH,Tanning and dressing of leather; manufacture of luggage handbags saddlery harness and footwear (19),i19,A_LETH,This dataset is about Tanning and dressing of leather; manufacture of luggage handbags saddlery harness and footwear (19). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/28/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6622660,unit,1;3;1;5;67,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LZTO,Mining of lead zinc and tin ores and concentrates,i13.20.15,A_LZTO,This dataset is about Mining of lead zinc and tin ores and concentrates. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/29/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4129806,cubic meter,1;3;1;5;68,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LZTP,Lead zinc and tin production,i27.43,A_LZTP,This dataset is about Lead zinc and tin production. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/30/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,3003341,tons,1;3;1;5;69,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_LZTW,Re-processing of secondary lead into new lead,i27.43.w,A_LZTW,This dataset is about Re-processing of secondary lead into new lead. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,5/31/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,7064554,unit,1;3;1;5;70,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_MACH,Manufacture of machinery and equipment n.e.c. (29),i29,A_MACH,This dataset is about Manufacture of machinery and equipment n.e.c. (29). It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,6/1/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,4715106,cubic meter,1;3;1;5;71,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
rdf.bonsai.uno/exiobase3_3_17/activities/A_MANB,Manure treatment (biogas) storage and land application,i01.w.2,A_MANB,This dataset is about Manure treatment (biogas) storage and land application. It presents the production of aluminium from the extraction of raw materials to the distribution of the finished product.,,bonsaiDB,bonsaiDB,This is an in-depth explanation of what the activity dataset covers. And what follows is gibberish. Kliuhoæi loij iuh'iu. Jluyklujbælkjn de gre fgk afsafd arga aesdefef. Awrfwaqefadfa. Fgsreead rgfertghs aesdw dwsef rgfe. Sgsfs srgrdsrfvseartwregf.,6/2/2019,Aluminum,Metallurgy,Aluminium smleting,Aluminium recycling; Car manufacture; Manufacture of food containers,6816421,tons,1;3;1;5;72,https://upload.wikimedia.org/wikipedia/commons/c/c2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-478.jpg
